ردیف,نام منبع,نوع,بخش صفحه,زیربخش,آدرس وب‌سایت,آدرس RSS/Atom,وضعیت فید,توضیح صفحه,یادداشت اعتبارسنجی
165,Stimson Center,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.stimson.org/,https://www.stimson.org/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,امنیت بین‌الملل و کاهش تهدید.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
166,United States Institute of Peace (USIP),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.usip.org/,https://www.usip.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,صلح، منازعه و میانجی‌گری.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
167,Foreign Policy Research Institute (FPRI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.fpri.org/,https://www.fpri.org/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست خارجی، تاریخ و امنیت.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
168,Cato Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.cato.org/,https://www.cato.org/rss/recent,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست عمومی و رویکرد آزادی‌خواهانه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
169,Quincy Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://quincyinst.org/,https://quincyinst.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست خارجی و خویشتن‌داری.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
170,American Enterprise Institute (AEI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.aei.org/,https://www.aei.org/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست عمومی، اقتصاد و امنیت.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
171,Heritage Foundation,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.heritage.org/,https://www.heritage.org/rss,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست محافظه‌کارانه آمریکا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
172,Center for International Policy,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://internationalpolicy.org/,https://internationalpolicy.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست خارجی پایدار و ضدنظامی‌گری.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
173,Institute for the Study of War (ISW),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://understandingwar.org/,https://understandingwar.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,تحلیل عملیات و منازعات.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
174,Institute for Defense Analyses (IDA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.ida.org/,https://ida.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,تحلیل فنی و امنیت ملی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
175,Center for Naval Analyses (CNA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.cna.org/,https://cna.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,پژوهش دفاعی و دریایی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
176,Center for Strategic and Budgetary Assessments (CSBA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://csbaonline.org/,https://csbaonline.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,راهبرد دفاعی و بودجه.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
177,Arms Control Association,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.armscontrol.org/,https://www.armscontrol.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,کنترل تسلیحات و عدم اشاعه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
178,Nuclear Threat Initiative (NTI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.nti.org/,https://www.nti.org/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,خطرات هسته‌ای و زیستی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
179,Bulletin of the Atomic Scientists,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://thebulletin.org/,https://thebulletin.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,ریسک هسته‌ای و فناوری‌های نو.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
180,Canadian Global Affairs Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.cgai.ca/,https://cgai.ca/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست خارجی و دفاع کانادا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
181,Centre for International Governance Innovation,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,ایالات متحده و کانادا,https://www.cigionline.org/,https://cigionline.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,حکمرانی جهانی، فناوری و اقتصاد.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
182,Chatham House,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.chathamhouse.org/,https://www.chathamhouse.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,روابط بین‌الملل و سیاست جهانی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
183,International Institute for Strategic Studies (IISS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.iiss.org/,https://iiss.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,امنیت، توان نظامی و ریسک سیاسی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
184,Royal United Services Institute (RUSI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.rusi.org/,https://www.rusi.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,دفاع و امنیت.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
185,European Council on Foreign Relations (ECFR),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://ecfr.eu/,https://ecfr.eu/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست خارجی اروپا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
186,EU Institute for Security Studies (EUISS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.iss.europa.eu/,https://iss.europa.eu/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست خارجی، امنیتی و دفاعی اتحادیه اروپا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
187,Stockholm International Peace Research Institute (SIPRI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.sipri.org/,https://www.sipri.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,هزینه نظامی، انتقال سلاح و صلح.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
188,Clingendael Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.clingendael.org/,https://clingendael.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,هلند؛ دیپلماسی و روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
189,German Institute for International and Security Affairs (SWP),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.swp-berlin.org/en/,https://swp-berlin.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,آلمان؛ سیاست خارجی و امنیت.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
190,German Council on Foreign Relations (DGAP),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://dgap.org/en,https://dgap.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,آلمان؛ سیاست خارجی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
191,French Institute of International Relations (IFRI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.ifri.org/en,https://ifri.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,فرانسه؛ روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
192,Fondation pour la Recherche Stratégique (FRS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.frstrategie.org/en,https://frstrategie.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,فرانسه؛ راهبرد و دفاع.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
193,European Centre of Excellence for Countering Hybrid Threats,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.hybridcoe.fi/,https://hybridcoe.fi/feed/,نامزد متداول / نیازمند راستی‌آزمایی,تهدیدهای ترکیبی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
194,European Policy Centre,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.epc.eu/,https://epc.eu/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست اتحادیه اروپا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
195,Centre for European Policy Studies (CEPS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.ceps.eu/,https://ceps.eu/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست و اقتصاد اروپا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
196,Bruegel,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.bruegel.org/,https://www.bruegel.org/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,اقتصاد اروپا و ژئواکونومی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
197,Polish Institute of International Affairs (PISM),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://pism.pl/,https://pism.pl/feed/,نامزد متداول / نیازمند راستی‌آزمایی,لهستان؛ سیاست خارجی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
198,Centre for Eastern Studies (OSW),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.osw.waw.pl/en,https://osw.waw.pl/feed/,نامزد متداول / نیازمند راستی‌آزمایی,اروپای شرقی، روسیه و اوراسیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
199,Peace Research Institute Oslo (PRIO),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.prio.org/,https://www.prio.org/rss,فید شناخته‌شده / نیازمند آزمون نهایی,صلح و منازعه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
200,Norwegian Institute of International Affairs (NUPI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.nupi.no/en,https://nupi.no/feed/,نامزد متداول / نیازمند راستی‌آزمایی,روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
201,Danish Institute for International Studies (DIIS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,بریتانیا و اروپا,https://www.diis.dk/en,https://diis.dk/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست خارجی و توسعه.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
202,Lowy Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.lowyinstitute.org/,https://www.lowyinstitute.org/the-interpreter/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,استرالیا؛ آسیا-اقیانوسیه و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
203,Australian Strategic Policy Institute (ASPI),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.aspi.org.au/,https://www.aspistrategist.org.au/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,دفاع، سایبر و امنیت منطقه‌ای.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
204,Asia Society Policy Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://asiasociety.org/policy-institute,https://asiasociety.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,سیاست آسیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
205,National Bureau of Asian Research (NBR),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.nbr.org/,https://nbr.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,راهبرد و اقتصاد آسیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
206,East-West Center,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.eastwestcenter.org/,https://eastwestcenter.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,آسیا-اقیانوسیه.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
207,ISEAS–Yusof Ishak Institute,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.iseas.edu.sg/,https://iseas.edu.sg/feed/,نامزد متداول / نیازمند راستی‌آزمایی,جنوب‌شرق آسیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
208,S. Rajaratnam School of International Studies (RSIS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.rsis.edu.sg/,https://rsis.edu.sg/feed/,نامزد متداول / نیازمند راستی‌آزمایی,امنیت و روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
209,Institute for Defence Studies and Analyses (MP-IDSA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.idsa.in/,https://idsa.in/feed/,نامزد متداول / نیازمند راستی‌آزمایی,هند؛ دفاع و امنیت.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
210,Observer Research Foundation (ORF),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.orfonline.org/,https://www.orfonline.org/feed,فید شناخته‌شده / نیازمند آزمون نهایی,هند؛ سیاست خارجی، فناوری و اقتصاد.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
211,Centre for Policy Research,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://cprindia.org/,https://cprindia.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,هند؛ سیاست عمومی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
212,Japan Institute of International Affairs (JIIA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.jiia.or.jp/en/,https://jiia.or.jp/feed/,نامزد متداول / نیازمند راستی‌آزمایی,ژاپن؛ روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
213,National Institute for Defense Studies (NIDS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.nids.mod.go.jp/english/,https://nids.mod.go.jp/feed/,نامزد متداول / نیازمند راستی‌آزمایی,ژاپن؛ مطالعات دفاعی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
214,Asan Institute for Policy Studies,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://en.asaninst.org/,https://en.asaninst.org/feed/,نامزد متداول / نیازمند راستی‌آزمایی,کره جنوبی؛ سیاست و امنیت.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
215,Korea Institute for Defense Analyses (KIDA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.kida.re.kr/eng/,https://kida.re.kr/feed/,نامزد متداول / نیازمند راستی‌آزمایی,کره جنوبی؛ دفاع.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
216,China Institutes of Contemporary International Relations (CICIR),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.cicir.ac.cn/NEW/en-us/,https://cicir.ac.cn/feed/,نامزد متداول / نیازمند راستی‌آزمایی,چین؛ روابط بین‌الملل.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
217,Shanghai Institutes for International Studies (SIIS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.siis.org.cn/,https://siis.org.cn/feed/,نامزد متداول / نیازمند راستی‌آزمایی,چین؛ سیاست جهانی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
218,Centre for Strategic and International Studies Indonesia,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آسیا و اقیانوسیه,https://www.csis.or.id/,https://csis.or.id/feed/,نامزد متداول / نیازمند راستی‌آزمایی,اندونزی؛ سیاست و اقتصاد.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
219,Institute for Security Studies Africa (ISS),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آفریقا، آمریکای لاتین و روسیه/اوراسیا,https://issafrica.org/,https://issafrica.org/rss,فید شناخته‌شده / نیازمند آزمون نهایی,امنیت و حکمرانی آفریقا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
220,South African Institute of International Affairs (SAIIA),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آفریقا، آمریکای لاتین و روسیه/اوراسیا,https://saiia.org.za/,https://saiia.org.za/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,روابط بین‌الملل آفریقا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
221,Institute for Global Dialogue,رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل,آفریقا، آمریکای لاتین و روسیه/اوراسیا,https://igd.org.za/,https://igd.org.za/feed/,نامزد متداول / نیازمند راستی‌آزمایی,آفریقای جنوبی؛ دیپلماسی و جنوب جهانی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
222,Fundação Getulio Vargas (FGV),رسانه/منبع تحلیلی یا پژوهشی,۵) اندیشکده‌های برتر ژئوپولیتیک، امنیتی و روابط بین‌الملل | ۱۳) اندیشکده‌های تکمیلی منطقه‌ای,آفریقا، آمریکای لاتین و روسیه/اوراسیا | آمریکای لاتین,https://portal.fgv.br/en,https://portal.fgv.br/feed/,نامزد متداول / نیازمند راستی‌آزمایی,برزیل؛ سیاست و اقتصاد.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
